actor,count
AREGOVBUS,942
AREGOVCOP,1
AREGOVCVL,7
AREGOVDEV,48
AREGOVEDU,41
AREGOVENV,23
AREGOVHLH,47
AREGOVJUD,8
AREGOVLAB,74
AREGOVMED,48
AREGOVMIL,151
AREGOVPTY,1
AREGOVREL,1
AREHLH,642
AREHRI,9
AREINS,1
AREJEW,7
AREJUD,1010
AREJUDMOS,25
AREJUDREL,1
ARELAB,166
ARELEG,949
AREMED,2650
AREMIL,1227
AREMILGOV,3
AREMILJUD,1
AREMOS,741
AREOPP,127
AREPTY,26
ARERAD,2
AREREB,103
AREREF,51
AREREL,27
ARESEP,1
ARESPY,62
AREUAF,89
ARG,220912
ARGAGR,141
ARGBUS,1377
ARGCHR,42
ARGCHRCTH,18
ARGCHRPRO,23
ARGCOP,1405
ARGCRM,147
ARGCVL,1288
ARGEDU,620
ARGELI,3867
ARGELIBUS,2
ARGELICOP,9
ARGELIGOV,702
ARGELIGOVHLH,4
ARGELIGOVMIL,8
ARGELIJUD,8
ARGELILEG,50
ARGELIMED,14
ARGELIMIL,14
ARGELIOPP,4
ARGELIPTY,41
ARGELIUAF,1
ARGENV,21
ARGGOV,35941
ARGGOVAGR,143
ARGGOVBUS,1301
ARGGOVCOP,14
ARGGOVCVL,1
ARGGOVDEV,58
ARGGOVEDU,111
ARGGOVELI,6
ARGGOVENV,18
ARGGOVGOVAGR,7
ARGGOVGOVBUS,1
ARGGOVGOVMIL,16
ARGGOVGOVPTY,1
ARGGOVHLH,168
ARGGOVHRI,127
ARGGOVJUD,4
ARGGOVLAB,163
ARGGOVLEG,23
ARGGOVMED,51
ARGGOVMIL,1460
ARGGOVMILMED,3
ARGGOVPTY,16
ARGGOVSPY,91
ARGHLH,372
ARGHRI,22
ARGINS,7
ARGJEW,37
ARGJUD,2928
ARGLAB,248
ARGLEG,1792
ARGMED,2435
ARGMIL,3543
ARGMILCOP,4
ARGMILGOV,33
ARGMILJUD,2
ARGMOS,51
ARGOPP,433
ARGOPPUAF,2
ARGPTY,232
ARGRAD,7
ARGREB,118
ARGREF,10
ARGREL,273
ARGSET,1
ARGSPY,101
ARGUAF,160
ARM,276910
ARMAGR,31
ARMBUS,1045
ARMCHR,818
ARMCHRCTH,12
ARMCOP,2139
ARMCRM,312
ARMCVL,6537
ARMEDU,1347
ARMELI,2324
ARMELICOP,2
ARMELIEDU,1
ARMELIGOV,296
ARMELIGOVBUS,1
ARMELIGOVMIL,458
ARMELIJUD,3
ARMELILEG,11
ARMELIMED,1
ARMELIOPP,27
ARMELIPTY,28
ARMENV,27
ARMGOV,55930
ARMGOVAGR,359
ARMGOVAGRPTY,1
ARMGOVBUS,516
ARMGOVDEV,8
ARMGOVEDU,159
ARMGOVELI,1
ARMGOVENV,70
ARMGOVGOVMIL,2
ARMGOVHLH,148
ARMGOVHRI,2
ARMGOVJUD,401
ARMGOVLAB,23
ARMGOVLABJUD,2
ARMGOVLEG,44
ARMGOVMED,177
ARMGOVMIL,4281
ARMGOVPTY,76
ARMHLH,213
ARMHRI,8
ARMJEW,11
ARMJUD,998
ARMLAB,115
ARMLEG,5596
ARMMED,8289
ARMMIL,5421
ARMMILCOP,22
ARMMILGOV,2
ARMMILSPY,5
ARMOPP,1738
ARMOPPMED,35
ARMOPPUAF,19
ARMPTY,875
ARMRAD,77
ARMREB,163
ARMREF,357
ARMREL,625
ARMSEP,427
ARMSET,4
ARMSPY,173
ARMUAF,958
ARN,857
ARNCVL,68
ARNEDU,20
ARNELI,1
ARNGOV,2
ARNLEG,5
ARNMED,15
ARNOPP,118
ARNUAF,10
ARP,217
ARPBUS,8
ARPCVL,6
ARPGOV,1
ARPJUD,1
ARW,252
ARWBUS,1
ARWCVL,1
ARWGOV,10
ASM,650
ASMAGR,1
ASMBUS,5
ASMCHR,5
ASMCOP,2
ASMCVL,56
ASMEDU,15
ASMELI,1
ASMGOV,7
ASMHLH,4
ASMLAB,4
ASMMED,27
ASMOPP,7
ASMPTY,1
ASMREB,17
ASMSEP,5
ASMUAF,49
AST,75
ASTAGR,2
ASTBUS,1
ASTCVL,4
ASTGOV,26
ASTLEG,4
ASY,1333
ASYCHR,142
ASYCOP,2
ASYCRM,2
ASYCVL,64
ASYEDU,1
ASYGOV,7
ASYJUD,1
ASYLAB,1
ASYLEG,13
ASYMED,3
ASYMIL,2
ASYOPP,4
ASYPTY,12
ASYREF,8
ASYREL,26
ASYSEP,1
ASYUAF,1
ATG,10237
ATGAGR,1
ATGBUS,232
ATGCHR,9
ATGCOP,126
ATGCRM,8
ATGCVL,45
ATGEDU,15
ATGELI,123
ATGELIGOV,24
ATGELIJUD,1
ATGELIOPP,35
ATGENV,1
ATGGOV,1966
ATGGOVAGR,107
ATGGOVBUS,44
ATGGOVDEV,7
ATGGOVEDU,47
ATGGOVELI,2
ATGGOVGOVHLH,2
ATGGOVHLH,18
ATGGOVJUD,1
ATGGOVLAB,19
ATGGOVMED,21
ATGGOVMIL,28
ATGGOVPTY,2
ATGHLH,13
ATGJUD,104
ATGLAB,23
ATGLEG,81
ATGMED,23
ATGMIL,31
ATGOPP,84
ATGPTY,9
ATGREB,1
ATGREL,7
ATGSEP,1
ATH,6527
ATHBUS,8
ATHCHR,50
ATHCHRCTH,3
ATHCRM,14
ATHCVL,29
ATHEDU,45
ATHGOV,61
ATHHLH,5
ATHJUD,4
ATHLAB,1
ATHMED,54
ATHMIL,39
ATHOPP,45
ATHPTY,3
ATHRAD,5
ATHREB,2
ATHREL,17
ATHUAF,64
AUS,1027504
AUSAGR,1673
AUSBUD,4
AUSBUS,15693
AUSCHR,882
AUSCHRCTH,246
AUSCHRPRO,18
AUSCOP,19790
AUSCRM,2067
AUSCVL,10778
AUSEDU,19070
AUSELI,7854
AUSELIAGR,2
AUSELICVL,1
AUSELIEDU,3
AUSELIGOV,1184
AUSELIGOVENV,1
AUSELIGOVHLH,2
AUSELIGOVMED,1
AUSELIGOVMIL,2
AUSELIJUD,1
AUSELILEG,10
AUSELIMED,97
AUSELIMIL,1
AUSELIOPP,424
AUSELIPTY,40
AUSELIREL,5
AUSENV,154
AUSGOV,133906
AUSGOVAGR,716
AUSGOVAGRGOVHLH,1
AUSGOVAGRGOVMED,10
AUSGOVAGRPTY,1
AUSGOVBUS,4019
AUSGOVBUSELI,1
AUSGOVBUSGOVAGR,4
AUSGOVBUSGOVDEV,5
AUSGOVBUSGOVLAB,9
AUSGOVBUSGOVMED,310
AUSGOVBUSLEG,64
AUSGOVBUSMED,1
AUSGOVBUSMIL,1
AUSGOVBUSPTY,2
AUSGOVCHR,8
AUSGOVCOP,38
AUSGOVCRM,1
AUSGOVCVL,4
AUSGOVDEV,33
AUSGOVEDU,894
AUSGOVEDUELI,8
AUSGOVEDUGOVENV,6
AUSGOVEDUGOVMIL,19
AUSGOVEDUMED,1
AUSGOVELI,357
AUSGOVENV,1726
AUSGOVENVELI,13
AUSGOVENVLEG,16
AUSGOVENVMED,2
AUSGOVGOVAGR,10
AUSGOVGOVDEV,13
AUSGOVGOVEDU,273
AUSGOVGOVENV,8
AUSGOVGOVHLH,60
AUSGOVGOVHRI,5
AUSGOVGOVLAB,7
AUSGOVGOVMED,23
AUSGOVGOVMIL,162
AUSGOVHLH,2680
AUSGOVHLHELI,6
AUSGOVHLHMED,2
AUSGOVHRI,159
